tth,A-1.5.cps,A-11.5.cps,A-13.5.cps,A-15.5.cps,A-3.5.cps,A-5.5.cps,A-7.5.cps,A-9.5.cps,B-1.5.cps,B-11.5.cps,B-13.5.cps,B-3.5.cps,B-5.5.cps,B-7.5.cps,B-9.5.cps
3.409403279,2.340686318,2.35294122,1.96078435,2.383578476,2.322303965,2.224264747,2.18137259,2.328431416,2.248774552,2.218137296,2.224264747,2.530637302,2.18137259,1.666666698,2.377451025
3.429868449,2.230392199,2.310049063,1.997549057,2.18137259,2.242647101,2.242647101,2.156862785,2.089460823,2.187500041,2.316176514,1.973039253,2.028186312,2.218137296,1.783088269,2.12622553
3.450333618,2.316176514,2.199754943,2.064951019,2.138480432,2.113970628,2.058823568,2.230392199,2.23651965,2.113970628,2.297794161,1.991421606,2.334558867,2.120098079,1.605392187,2.401960829
3.470798787,2.187500041,2.089460823,2.101715726,2.199754943,1.96078435,2.132352981,2.07107847,2.261029454,2.230392199,2.46323534,2.009803959,2.175245139,2.046568666,1.672794149,2.175245139
3.491263956,2.064951019,2.162990237,1.979166704,1.942401997,2.01593141,1.973039253,2.285539258,2.267156905,2.254902003,2.328431416,2.12622553,2.046568666,2.003676508,1.654411796,2.224264747
3.511729125,2.150735334,1.887254937,2.162990237,2.187500041,1.997549057,2.175245139,1.948529448,2.138480432,2.175245139,2.156862785,1.942401997,2.040441215,2.230392199,1.654411796,2.138480432
3.532194294,2.12622553,2.028186312,1.936274546,2.01593141,1.868872584,2.120098079,2.052696117,2.01593141,2.083333372,2.389705927,1.966911801,2.095588274,2.046568666,1.39705885,2.169117688
3.552659463,2.01593141,1.973039253,1.985294155,2.01593141,2.132352981,2.028186312,2.003676508,2.334558867,1.930147095,2.273284356,1.936274546,1.832107877,1.997549057,1.556372578,2.101715726
3.573124632,2.01593141,2.046568666,1.881127486,2.022058861,1.948529448,2.120098079,1.776960818,2.101715726,2.230392199,2.156862785,1.783088269,2.101715726,2.052696117,1.691176502,2.083333372
3.593589801,2.01593141,2.156862785,2.113970628,1.593137285,1.721813758,1.979166704,2.046568666,1.838235328,2.022058861,2.003676508,2.003676508,1.985294155,1.758578464,1.335784339,2.046568666
3.61405497,1.966911801,1.973039253,1.813725524,1.973039253,1.776960818,1.948529448,2.022058861,2.040441215,1.954656899,1.991421606,1.893382388,1.721813758,1.924019644,1.488970616,1.948529448
3.63452014,1.96078435,2.028186312,1.917892193,1.985294155,1.801470622,1.875000035,1.985294155,1.966911801,2.23651965,2.07107847,1.948529448,1.954656899,1.73406866,1.458333361,1.966911801
